#timestamp,position_x,position_y,click_count
1489484316857,0,0,1
1489484462123,1816,1147,2
1489484480531,572,1031,3
1489484484585,1737,1162,4
1489484502682,570,1035,5
1489484503544,1730,1153,6
1489484529923,573,936,7
1489484530910,1776,1141,8
1489484532887,1724,1160,9
