#timestamp,gaze_x,gaze_y
3203226412,901.865735,199.756617
3203237461,902.973710,197.408260
3203247915,904.210086,192.628806
3203259807,904.510495,191.990228
3203270693,904.989263,189.167996
3203281347,904.993506,188.763844
3203293094,904.828667,186.848180
3203304157,903.993595,185.269053
3203314572,902.875689,182.823381
3203326515,902.049258,181.140184
3203337403,901.334218,179.668557
3203347871,900.760122,178.248223
3203359630,900.634855,174.507338
3203370684,900.664958,174.551719
3203381568,900.872205,172.511053
3203393212,900.768787,171.675261
3203403877,900.282224,168.674045
3203414585,900.439262,167.003196
3203426347,900.379678,164.184615
3203437220,901.783660,162.340268
3203447965,906.868883,161.083644
3203459774,912.491042,160.109545
3203470556,914.003664,159.739773
3203481073,915.002974,159.455330
3203493142,919.829615,157.515673
3203504060,922.464287,156.732009
3203514640,927.828619,155.826939
3203526098,927.754901,155.010314
3203537259,927.733958,154.964967
3203547695,927.629342,152.455172
3203559229,927.449757,152.438157
3203570699,927.491078,152.521798
3203581218,927.433388,152.385468
3203593186,926.726346,149.705007
3203603842,926.832209,149.062040
3203614626,926.884054,148.690110
3203626230,927.335118,146.795356
3203637565,927.392309,146.807767
3203647705,927.608987,146.279665
3203659574,927.813923,146.698292
3203670865,927.591896,144.175838
3203681090,927.263560,143.447815
3203693139,926.840782,142.701479
3203703743,926.654266,142.040213
3203714441,926.650464,141.597660
3203726253,926.463302,141.382721
3203737327,925.909762,140.419875
3203747407,925.141815,138.845250
3203759497,924.614091,137.715853
3203770746,924.489994,134.979464
3203780934,926.373721,122.555701
3203792830,925.164342,123.724522
3203802249,926.213870,115.263841
3203812644,925.248824,107.982227
3203870088,923.578505,90.913418
3203880998,892.920692,183.335169
3203893214,901.722607,182.301993
3203904200,906.086515,175.528390
3203914845,907.301029,173.244244
3203926120,918.141059,154.580137
3203937510,916.571765,151.810439
3203947637,915.152451,149.125693
3203959570,914.054453,146.132062
3203970386,915.104092,141.159648
3203980770,915.616046,138.480452
3203992765,913.876930,135.140253
3204003728,912.393735,136.481203
3204014418,912.652304,134.337463
3204026268,912.897488,132.783587
3204037453,914.034008,134.294113
3204047579,914.219919,134.282011
3204059525,915.445036,134.392615
3204070733,916.520417,134.069137
3204080890,915.560453,134.609828
3204093079,915.912070,135.345641
3204103720,924.373647,135.526577
3204114638,956.850326,138.237818
3204126176,967.135689,139.772977
3204137303,974.542138,141.322344
3204147292,979.608118,142.692777
3204159588,983.691223,143.306383
3204170423,987.698432,143.805570
3204180817,1006.086635,146.936053
3204192987,1006.104956,147.174006
3204203823,1005.765435,147.138311
3204214123,1005.657999,145.997572
3204225934,1005.642598,145.960905
3204237351,1005.566931,145.507723
3204247405,1005.459875,144.577390
3204259542,1005.419296,141.578325
3204270163,1005.252629,141.240587
3204280613,1004.870000,141.253082
3204292644,1004.078056,137.518486
3204303529,1002.524759,136.867247
3204314218,995.745502,136.702102
3204326147,990.113175,136.324867
3204337134,981.325270,132.816135
3204347083,980.620950,132.493238
3204359142,979.191355,132.032422
3204370165,978.325943,131.971884
3204380531,975.166659,131.384885
3204392501,973.672753,131.220806
3204403509,973.173349,131.379738
3204414006,972.442491,129.560459
3204425964,972.375436,128.891642
3204436849,973.085190,128.608970
3204447111,973.027618,128.581934
3204459120,972.854831,128.585110
3204470171,972.015367,127.693814
3204480730,971.173002,126.520500
3204492356,971.045371,125.403683
3204503527,970.429585,123.890418
3204514110,970.279998,123.160861
3204525890,970.104968,122.229625
3204536879,970.630597,120.607170
3204547144,970.680543,120.119834
3204559239,971.154097,119.388743
3204570113,970.926308,119.298845
3204580297,971.389529,118.369463
3204592461,971.554511,117.958570
3204603391,971.993603,117.727427
3204613645,972.310665,117.449562
3204625982,975.315212,116.586873
3204636832,1000.580592,111.554106
3204647155,1005.309891,110.827127
3204658807,1010.442942,110.553186
3204670001,1013.131264,110.467004
3204680331,1014.938085,110.363614
3204692369,1019.863912,109.549222
3204703157,1021.631203,109.464130
3204713785,1022.297562,107.943171
3204725848,1022.288700,107.831917
3204736761,1021.917661,107.571316
3204747107,1021.711032,106.706900
3204758913,1021.707088,106.385393
3204769756,1021.687700,102.793971
3204780394,1021.821159,100.524856
3204792420,1021.922767,96.634647
3204803192,1021.982178,95.280888
3204813914,1021.910871,94.881211
3204825701,1021.767895,94.445099
3204836391,1021.096299,94.252521
3204847016,1021.119678,94.090373
3204858946,1021.700685,94.588763
3204869857,1022.299141,94.138338
3204880243,1022.252791,93.833566
3204892130,1021.972027,93.665352
3204903272,1021.887525,93.830996
3204913453,1021.713143,94.156981
3204925829,1021.474838,94.394597
3204936335,1020.539947,94.758236
3204947194,1020.804802,94.469433
3204958822,1020.545112,94.591781
3204969914,1020.260293,94.810391
3204980111,1020.086810,94.891957
3204991895,1020.157127,94.821892
3205003051,1020.010818,94.628660
3205013518,1020.669112,94.067374
3205025256,1020.763858,94.025580
3205036388,1020.997696,93.838086
3205046747,1019.855852,93.435022
3205058841,1019.676819,92.914320
3205069972,1019.695318,92.454149
3205080368,1019.943854,91.606936
3205091970,1020.043181,90.803509
3205103118,1020.129059,90.357644
3205113479,1020.886198,88.019723
3205125442,1020.978897,87.306327
3205136510,1021.094278,87.336218
3205146835,1021.296180,87.120956
3205158667,1021.722570,87.619948
3205169583,1021.750893,87.603857
3205180096,1021.563850,87.553145
3205192002,1021.414008,87.378195
3205203151,1021.316745,87.080325
3205213641,1021.208040,86.888304
3205225203,1021.484020,86.792752
3205236346,1021.406307,86.820633
3205246798,1019.175373,86.716684
3205258475,1020.089296,86.604917
3205269724,1018.521128,86.576207
3205280152,950.725102,91.349103
3205292114,662.248388,119.466544
3205302884,658.536566,119.829445
3205313407,655.146097,120.153963
3205325292,651.208705,120.483187
3205336428,645.397739,120.921398
3205346671,644.306130,120.736256
3205358595,640.453713,120.060624
3205369538,637.449242,119.299165
3205380050,637.578905,120.104779
3205391980,635.702418,118.679754
3205402848,634.725667,119.740966
3205413387,633.246377,119.840131
3205425025,613.980212,127.175571
3205436278,609.743021,129.175003
3205446579,608.198825,130.262318
3205458735,606.571180,131.354589
3205469188,603.417737,132.568543
3205479977,601.573476,133.174819
3205491441,595.274239,135.010746
3205502576,595.499519,134.121573
3205513148,595.648066,133.139112
3205525000,595.484042,133.460609
3205536017,595.565685,132.871237
3205546930,595.316369,130.709540
3205558446,595.868057,130.248458
3205569328,596.164600,130.112995
3205580015,596.376564,130.161918
3205591865,597.093360,130.849637
3205602481,596.630648,130.703098
3205613158,594.105796,131.776450
3205625116,594.910195,131.463609
3205635882,594.892987,131.800423
3205646548,594.002889,132.760452
3205658458,594.476386,132.953722
3205669290,592.211159,135.422626
3205680018,591.516129,135.282705
3205691515,590.981543,135.342137
3205702045,588.997452,137.662436
3205711587,587.027842,140.368546
3205723667,583.951777,149.871695
3205735750,589.188648,115.706823
3205746258,595.144630,88.077880
3205758212,601.526147,92.617667
3205769234,602.392365,97.289697
3205779739,602.720049,98.676389
3205791660,602.809823,101.041557
3205802450,603.376421,103.697323
3205813147,604.515357,108.731874
3205824715,607.182889,142.273622
3205835586,609.989875,145.913919
3205846710,611.002919,146.717929
3205858241,611.518993,146.919065
3205869339,611.952192,146.810682
3205879654,612.741640,146.638137
3205891398,612.226374,147.318024
3205902240,612.033711,147.745763
3205913072,611.796285,148.108867
3205924638,612.611018,146.955596
3205935844,612.324948,147.282728
3205946486,612.811995,147.024976
3205958089,616.170753,145.735280
3205969004,628.544457,144.942287
3205979354,633.532759,145.253628
3205991328,636.402487,145.299061
3206002082,641.303452,145.199733
3206013004,643.851443,145.022115
3206024946,646.730161,143.755545
3206035600,650.399511,139.487147
3206046089,647.085012,136.722677
3206057993,648.217691,138.693556
3206068995,648.913077,138.265823
3206079559,648.695068,136.868432
3206091231,648.301988,135.948730
3206102459,648.303991,135.447072
3206112752,648.158204,135.144201
3206124716,647.554810,133.431242
3206135473,647.650838,132.837406
3206145980,647.570007,131.397436
3206157746,647.884585,130.822902
3206169130,649.922077,127.182001
3206179281,650.595290,126.829521
3206191090,664.058622,122.492108
3206202360,677.208768,117.057028
3206212630,682.230280,114.635096
3206224360,687.011858,112.234908
3206235446,702.946742,106.029020
3206245957,704.544806,105.139524
3206257926,708.190804,103.439977
3206268866,709.153746,103.692806
3206279529,708.836324,103.525444
3206291210,708.138314,104.316858
3206302069,709.582875,105.746546
3206312884,709.652063,106.204602
3206324415,708.896037,106.012862
